[10310, 348.0]	"credit"
[10310, 537.0]	"longer"
[10310, 580.0]	"greasy"
[10311, 109.0]	"act"
[10311, 109.0]	"bitter"
[10311, 112.0]	"keeping"
[10311, 2607.0]	"said"
[10311, 299.0]	"tonight"
[10311, 355.0]	"asking"
[10311, 365.0]	"picked"
[10312, 100.0]	"failed"
[10312, 1141.0]	"wont"
[10312, 1160.0]	"cold"
[10312, 122.0]	"description"
[10312, 147.0]	"pointed"
[10312, 153.0]	"broken"
[10312, 219.0]	"dollars"
[10312, 322.0]	"paper"
[10312, 641.0]	"bill"
[10313, 113.0]	"breading"
[10313, 113.0]	"warehouse"
[10313, 116.0]	"driver"
[10313, 116.0]	"shredded"
[10313, 116.0]	"terribly"
[10313, 135.0]	"foot"
[10313, 141.0]	"canned"
[10313, 182.0]	"send"
[10313, 204.0]	"workers"
[10313, 292.0]	"waitresses"
[10313, 310.0]	"leaving"
[10313, 357.0]	"attention"
[10313, 543.0]	"employees"
[10314, 1020.0]	"rather"
[10314, 129.0]	"accept"
[10314, 170.0]	"drunk"
[10314, 242.0]	"returning"
[10314, 245.0]	"mad"
[10314, 261.0]	"bus"
[10314, 554.0]	"lettuce"
[10314, 833.0]	"sat"
[10315, 101.0]	"dirt"
[10315, 1081.0]	"instead"
[10315, 1324.0]	"server"
[10315, 142.0]	"noise"
[10315, 145.0]	"internet"
[10315, 1823.0]	"why"
[10315, 189.0]	"agreed"
[10315, 265.0]	"third"
[10315, 483.0]	"basically"
[10315, 518.0]	"tiny"
[10315, 853.0]	"sitting"
[10316, 1021.0]	"called"
[10316, 1021.0]	"seated"
[10316, 152.0]	"inn"
[10316, 168.0]	"skip"
[10316, 190.0]	"step"
[10316, 304.0]	"desk"
[10316, 351.0]	"says"
[10317, 108.0]	"establishments"
[10317, 111.0]	"warned"
[10317, 124.0]	"base"
[10317, 124.0]	"wrote"
[10317, 143.0]	"initially"
[10317, 1610.0]	"maybe"
[10317, 165.0]	"eventually"
[10317, 165.0]	"smelled"
[10317, 197.0]	"requested"
[10317, 2228.0]	"her"
[10317, 2873.0]	"she"
[10317, 907.0]	"water"
[10318, 1192.0]	"fine"
[10318, 169.0]	"trouble"
[10318, 191.0]	"cramped"
[10318, 191.0]	"onto"
[10318, 210.0]	"luck"
[10318, 223.0]	"waterfront"
